ecart-type,fifo+swap,fifo+insert,fifo+swapinsert,optimum,,,,,,
227.68,1307.39,1336.13,1304.70,1258,,259.18,1292.68,1332.54,1295.43,1245
233.03,1321.45,1349.45,1319.39,1287,,234.36,1306.45,1344.78,1312.02,1247
234.36,1306.45,1344.78,1312.02,1247,,275.92,1292.04,1345.05,1294.09,1265
234.54,1314.73,1350.85,1306.68,1269,,227.68,1307.39,1336.13,1304.70,1258
242.74,1297.52,1329.89,1292.38,1254,,243.40,1318.14,1335.41,1314.65,1280
243.40,1318.14,1335.41,1314.65,1280,,234.54,1314.73,1350.85,1306.68,1269
245.29,1307.93,1340.38,1307.95,1269,,245.29,1307.93,1340.38,1307.95,1269
250.07,1298.79,1337.17,1300.67,1262,,233.03,1321.45,1349.45,1319.39,1287
259.18,1292.68,1332.54,1295.43,1245,,250.07,1298.79,1337.17,1300.67,1262
275.92,1292.04,1345.05,1294.09,1265,,242.74,1297.52,1329.89,1292.38,1254
