nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,taux_neutre,resultat_min,resultat_moyen,resultat_max,iteration_min,iteration_moyen,iteration_max,freq_optimum_glob,freq_borne_inf
Gp03-01,3,3,1000,189.76,1,1168,swap,nd,0.00158875,0.72,1168,1168,1168,1,1.85,3,1,0
Gp03-01,3,3,1000,189.76,1,1168,insert,nd,0.00140262,0.7679,1168,1168,1168,1,1.76,3,1,0
Gp03-01,3,3,1000,189.76,1,1168,swap+insert,nd,0.00152012,0.7232,1168,1168,1168,1,1.83,3,1,0
Gp03-01,3,3,1000,189.76,1,1168,swap,giffler,0.00241897,0.3442,1168,1229.11,1318,1,3.33,7,0.33,0
Gp03-01,3,3,1000,189.76,1,1168,insert,giffler,0.00204554,0.4519,1168,1246.56,1337,1,3.63,7,0.24,0
Gp03-01,3,3,1000,189.76,1,1168,swap+insert,giffler,0.00195996,0.445,1168,1225.84,1318,1,3.56,8,0.36,0
Gp03-01,3,3,1000,189.76,1,1168,swap,FIFO-simple,0.00312907,0.3774,1168,1222.69,1333,1,3.42,8,0.47,0
Gp03-01,3,3,1000,189.76,1,1168,insert,FIFO-simple,0.00203957,0.472,1168,1237.33,1337,1,3.03,6,0.38,0
Gp03-01,3,3,1000,189.76,1,1168,swap+insert,FIFO-simple,0.00373687,0.4008,1168,1222.72,1333,1,3.23,7,0.45,0
Gp03-01,3,3,1000,189.76,1,1168,swap,FIFO-critique,0.00213192,0.2119,1168,1231.27,1343,1,4.69,10,0.26,0
Gp03-01,3,3,1000,189.76,1,1168,insert,FIFO-critique,0.00175176,0.2874,1168,1213.72,1337,1,4.96,13,0.46,0
Gp03-01,3,3,1000,189.76,1,1168,swap+insert,FIFO-critique,0.0015212,0.2869,1168,1212.03,1337,2,4.93,10,0.42,0
Gp03-01,3,3,1000,189.76,1,1168,swap,best,0.0019179,0.6456,1168,1168,1168,1,1.93,5,1,0
Gp03-01,3,3,1000,189.76,1,1168,insert,best,0.00153704,0.6933,1168,1168,1168,1,1.87,5,1,0
Gp03-01,3,3,1000,189.76,1,1168,swap+insert,best,0.00183689,0.6825,1168,1168,1168,1,1.92,5,1,0
