nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-01,8,8,1000,180.313,1,1130,swap,nd,3.78553,0.573434,0.622756,0.7406,SHC,1162,1177.44,1206,3,7.65,14,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap,nd,3.78553,0.573434,0.622756,0.7406,SHC_with_budget,1162,1165.79,1179,4741,7235.9,12446,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert,nd,6.85649,0.643233,0.500356,0.8264,SHC,1162,1186.23,1250,2,6.67,13,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert,nd,6.85649,0.643233,0.500356,0.8264,SHC_with_budget,1162,1168.07,1183,5165,8095.28,16641,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert,nd,4.46221,0.638094,0.597038,0.7898,SHC,1162,1177.68,1208,1,7.75,16,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert,nd,4.46221,0.638094,0.597038,0.7898,SHC_with_budget,1162,1167.24,1182,4862,8141.93,15612,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap_critic,nd,5.59425,0.50873,0.480496,0.7361,SHC,1162,1187.49,1229,2,6.82,15,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap_critic,nd,5.59425,0.50873,0.480496,0.7361,SHC_with_budget,1162,1166.87,1182,3366,5982.35,11257,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert_critic,nd,7.07404,0.529788,0.62178,0.8215,SHC,1162,1213.89,1286,1,4.16,11,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert_critic,nd,7.07404,0.529788,0.62178,0.8215,SHC_with_budget,1162,1202.97,1269,2521,4777.75,7606,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert_critic,nd,5.27973,0.548454,0.57323,0.7973,SHC,1162,1189.84,1234,1,6.55,15,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert_critic,nd,5.27973,0.548454,0.57323,0.7973,SHC_with_budget,1162,1168.68,1188,3756,6465.96,12769,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap,giffler,3.24876,1.50316,1.48816,0.4491,SHC,1147,1253.3,1394,3,15.94,33,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap,giffler,3.24876,1.50316,1.48816,0.4491,SHC_with_budget,1132,1183.93,1241,2860,5323.82,9612,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert,giffler,6.00375,1.79451,1.50291,0.6167,SHC,1185,1306.33,1444,2,12.37,27,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert,giffler,6.00375,1.79451,1.50291,0.6167,SHC_with_budget,1131,1187.59,1271,4366,8070.03,15070,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert,giffler,5.15149,1.43191,1.32859,0.5494,SHC,1173,1261.41,1520,5,15.98,29,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert,giffler,5.15149,1.43191,1.32859,0.5494,SHC_with_budget,1131,1187.77,1263,3727,7572.23,17552,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap_critic,giffler,2.85898,1.80704,1.61443,0.4496,SHC,1177,1286.51,1465,4,13.22,25,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap_critic,giffler,2.85898,1.80704,1.61443,0.4496,SHC_with_budget,1134,1190.35,1344,21,2416.77,6024,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert_critic,giffler,5.15567,1.73885,1.96041,0.6143,SHC,1193,1360.99,1598,1,9.36,24,0,0
Gp08-01,8,8,1000,180.313,1,1130,insert_critic,giffler,5.15567,1.73885,1.96041,0.6143,SHC_with_budget,1172,1307.36,1463,50,1944.14,4924,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert_critic,giffler,3.65628,1.59611,1.56624,0.5506,SHC,1166,1291.78,1477,5,14.28,32,0,0
Gp08-01,8,8,1000,180.313,1,1130,swap+insert_critic,giffler,3.65628,1.59611,1.56624,0.5506,SHC_with_budget,1130,1201.46,1430,8,3195.69,6912,0.01,0
Gp08-01,8,8,1000,180.313,1,1130,swap,FIFO-simple,3.75965,0.952141,0.99426,0.6107,SHC,1201,1350.04,1508,3,15.36,30,0,0
