nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Ta04-01,4,4,186,30.8798,1,193,swap,nd,3.26236,0.309976,nan,0.7129,SHC,196,197.31,210,1,3.02,6,0,0
Ta04-01,4,4,186,30.8798,1,193,swap,nd,3.26236,0.309976,nan,0.7129,SHC_with_budget,196,196.01,197,1070,1244.22,1962,0,0
Ta04-01,4,4,186,30.8798,1,193,insert,nd,3.54104,0.144653,0.260242,0.784,SHC,196,199.86,210,1,3.04,6,0,0
Ta04-01,4,4,186,30.8798,1,193,insert,nd,3.54104,0.144653,0.260242,0.784,SHC_with_budget,196,196.5,197,1186,1295.39,1536,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,nd,4.05553,0.20679,0.421937,0.7211,SHC,196,197.92,210,1,3.1,6,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,nd,4.05553,0.20679,0.421937,0.7211,SHC_with_budget,196,196.27,197,1087,1315.04,2395,0,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,nd,2.86644,nan,0.225993,0.7087,SHC,196,199.04,219,1,2.69,6,0,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,nd,2.86644,nan,0.225993,0.7087,SHC_with_budget,196,196.08,197,829,1175.99,2060,0,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,nd,3.95034,0.225289,nan,0.7831,SHC,196,206.57,220,1,2.27,6,0,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,nd,3.95034,0.225289,nan,0.7831,SHC_with_budget,196,199.94,219,691,1167.76,1662,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,nd,5.02299,nan,0.326983,0.7875,SHC,196,199.8,214,1,2.79,6,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,nd,5.02299,nan,0.326983,0.7875,SHC_with_budget,196,196.18,197,927,1277.66,2223,0,0
Ta04-01,4,4,186,30.8798,1,193,swap,giffler,1.29272,0.74644,0.695485,0.334,SHC,193,208.65,237,2,5.74,13,0.06,0
Ta04-01,4,4,186,30.8798,1,193,swap,giffler,1.29272,0.74644,0.695485,0.334,SHC_with_budget,193,195.86,207,420,783.78,1467,0.48,0
Ta04-01,4,4,186,30.8798,1,193,insert,giffler,2.13171,0.887892,0.682217,0.4662,SHC,193,213.83,248,1,5.24,13,0.02,0
Ta04-01,4,4,186,30.8798,1,193,insert,giffler,2.13171,0.887892,0.682217,0.4662,SHC_with_budget,193,196.18,213,592,1072.52,2026,0.45,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,giffler,1.96366,0.577609,0.734035,0.436,SHC,193,206.14,239,2,6.12,13,0.09,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,giffler,1.96366,0.577609,0.734035,0.436,SHC_with_budget,193,196.18,213,502,944.64,2044,0.41,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,giffler,1.30602,0.756644,0.714258,0.3322,SHC,193,214.4,244,1,4.61,11,0.04,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,giffler,1.30602,0.756644,0.714258,0.3322,SHC_with_budget,193,200.8,232,3,309.8,881,0.22,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,giffler,2.35135,0.826703,0.995221,0.466,SHC,193,221.53,264,1,4.31,11,0.01,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,giffler,2.35135,0.826703,0.995221,0.466,SHC_with_budget,193,211.49,240,5,435.52,1472,0.03,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,giffler,2.10238,1.1294,0.826735,0.3908,SHC,193,210.83,245,1,5.61,15,0.04,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,giffler,2.10238,1.1294,0.826735,0.3908,SHC_with_budget,193,199.25,221,2,457.88,1045,0.21,0
Ta04-01,4,4,186,30.8798,1,193,swap,FIFO-simple,1.31227,0.598229,0.645032,0.3762,SHC,193,211.61,245,1,5.5,11,0.03,0
Ta04-01,4,4,186,30.8798,1,193,swap,FIFO-simple,1.31227,0.598229,0.645032,0.3762,SHC_with_budget,193,195.57,205,545,819.73,1364,0.38,0
Ta04-01,4,4,186,30.8798,1,193,insert,FIFO-simple,2.08086,0.591725,0.772625,0.5313,SHC,193,214.22,252,2,5.15,11,0.03,0
Ta04-01,4,4,186,30.8798,1,193,insert,FIFO-simple,2.08086,0.591725,0.772625,0.5313,SHC_with_budget,193,198.38,219,722,1049.88,2176,0.19,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,FIFO-simple,2.04113,0.583638,0.690795,0.5216,SHC,193,208.3,229,1,5.85,12,0.03,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,FIFO-simple,2.04113,0.583638,0.690795,0.5216,SHC_with_budget,193,196.63,217,520,973.18,1901,0.27,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,FIFO-simple,1.26891,0.649261,0.636152,0.3754,SHC,214,265.85,357,1,1,1,0,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,FIFO-simple,1.26891,0.649261,0.636152,0.3754,SHC_with_budget,206,269.01,331,1,1,1,0,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,FIFO-simple,1.69839,0.617955,0.675439,0.5255,SHC,219,270.66,344,1,1,1,0,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,FIFO-simple,1.69839,0.617955,0.675439,0.5255,SHC_with_budget,210,270.07,351,1,1,1,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,FIFO-simple,1.97449,0.670256,0.672377,0.4967,SHC,217,269.67,334,1,1,1,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,FIFO-simple,1.97449,0.670256,0.672377,0.4967,SHC_with_budget,208,269.45,368,1,1,1,0,0
Ta04-01,4,4,186,30.8798,1,193,swap,FIFO-critique,2.96083,1.90397,2.08615,0.2123,SHC,195,220.29,249,4,9.17,14,0,0
Ta04-01,4,4,186,30.8798,1,193,swap,FIFO-critique,2.96083,1.90397,2.08615,0.2123,SHC_with_budget,193,205.22,228,286,477.28,994,0.03,0
Ta04-01,4,4,186,30.8798,1,193,insert,FIFO-critique,3.91719,2.31884,2.38549,0.3578,SHC,193,215.68,255,2,10.18,16,0.06,0
Ta04-01,4,4,186,30.8798,1,193,insert,FIFO-critique,3.91719,2.31884,2.38549,0.3578,SHC_with_budget,193,205.38,228,411,588.14,1190,0.05,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,FIFO-critique,3.93954,2.36608,2.34323,0.3584,SHC,193,211.84,252,3,10.1,20,0.03,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,FIFO-critique,3.93954,2.36608,2.34323,0.3584,SHC_with_budget,193,204.27,228,358,548.23,1278,0.09,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,FIFO-critique,3.24973,1.99838,1.8314,0.2157,SHC,193,219.65,249,4,9.14,18,0.02,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,FIFO-critique,3.24973,1.99838,1.8314,0.2157,SHC_with_budget,196,218.58,248,4,21.82,177,0,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,FIFO-critique,4.47703,2.51886,2.56805,0.3599,SHC,193,220.68,269,2,10.72,20,0.01,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,FIFO-critique,4.47703,2.51886,2.56805,0.3599,SHC_with_budget,193,212.95,269,4,16.28,206,0.01,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,FIFO-critique,3.83811,2.15198,2.46904,0.3669,SHC,195,214.26,246,3,10.43,19,0,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,FIFO-critique,3.83811,2.15198,2.46904,0.3669,SHC_with_budget,193,212.09,255,3,17.42,119,0.06,0
Ta04-01,4,4,186,30.8798,1,193,swap,best,3.42787,0.322186,nan,0.6875,SHC,193,197.26,210,1,3.41,9,0.05,0
Ta04-01,4,4,186,30.8798,1,193,swap,best,3.42787,0.322186,nan,0.6875,SHC_with_budget,193,194.29,196,588,1071.44,1786,0.53,0
Ta04-01,4,4,186,30.8798,1,193,insert,best,3.94592,0.388593,nan,0.7736,SHC,193,197.92,210,1,3.17,7,0.02,0
Ta04-01,4,4,186,30.8798,1,193,insert,best,3.94592,0.388593,nan,0.7736,SHC_with_budget,193,194.87,197,815,1362.64,2240,0.37,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,best,2.61407,0.243198,nan,0.7478,SHC,193,197.03,210,1,3.4,8,0.03,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert,best,2.61407,0.243198,nan,0.7478,SHC_with_budget,193,194.47,197,693,1276.22,2276,0.49,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,best,2.888,0.373225,0.320205,0.6851,SHC,195,200.37,223,1,2.83,7,0,0
Ta04-01,4,4,186,30.8798,1,193,swap_critic,best,2.888,0.373225,0.320205,0.6851,SHC_with_budget,193,196.7,224,1,513.56,1545,0.29,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,best,3.98148,0.366285,0.406225,0.77,SHC,193,203.49,220,1,2.44,6,0.03,0
Ta04-01,4,4,186,30.8798,1,193,insert_critic,best,3.98148,0.366285,0.406225,0.77,SHC_with_budget,193,201.24,221,1,810.11,2134,0.04,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,best,3.70368,nan,nan,0.7232,SHC,193,199.94,224,1,2.81,6,0.04,0
Ta04-01,4,4,186,30.8798,1,193,swap+insert_critic,best,3.70368,nan,nan,0.7232,SHC_with_budget,193,198.33,223,1,496.15,1613,0.15,0
