Liste des paysages :
(Fitness : Nombre d'occurence dans le paysage)
1/ ND
1171    120960
1333    120960
1168    120960
2/ Gifller
1318    241920
1661    120960
3/ FIFO-simple
1505    31033
1343    17146
1318    17220
1657    12130
1324    17146
1495    9611
1823    2628
1994    13836
1661    50996
1676    12130
1337    17220
1511    9611
1667    10748
2000    7404
1826    2628
1832    12533
1489    31033
1829    12533
1333    13530
1171    3655
1486    7026
1492    1356
1663    152
1330    2228
1168    3655
1514    1356
1508    7026
1349    2228
1682    152
1991    596
1670    4827
1339    6622
1174    2877
1819    766
1177    2877
1501    1520
1673    1160
1835    152
1504    1520
1651    4827
1822    678
2165    152
1841    766
2159    426
1997    596
1660    1160
2162    152
1838    830
2156    426
