nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,autocorrélation,ac_sans_neutre,ac_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
GP03-01,3,3,1000,189.76,1,1168,swap,nd,1.93247,nan,nan,0.7192,SHC,1168,1168,1168,1,1.8,3,1,0
GP03-01,3,3,1000,189.76,1,1168,swap,nd,1.93247,nan,nan,0.7192,SHC_with_budget,1168,1168,1168,610,647.94,681,1,0
GP03-01,3,3,1000,189.76,1,1168,swap,FIFO-critique,1.29374,0.941859,0.94048,0.2244,SHC,1168,1244.69,1511,2,4.67,9,0.25,0
GP03-01,3,3,1000,189.76,1,1168,swap,FIFO-critique,1.29374,0.941859,0.94048,0.2244,SHC_with_budget,1168,1194.58,1318,147,241.78,460,0.52,0
GP03-01,3,3,1000,189.76,1,1168,swap,prio,1.88797,nan,nan,0.7109,SHC,1168,1168,1168,2,5.79,14,1,0
GP03-01,3,3,1000,189.76,1,1168,swap,prio,1.88797,nan,nan,0.7109,SHC_with_budget,1168,1168,1168,177,227.27,323,1,0
GP03-02,3,3,1000,188.806,1,1170,swap,nd,2.34806,nan,nan,0.7153,SHC,1170,1170,1170,1,1.82,3,1,0
GP03-02,3,3,1000,188.806,1,1170,swap,nd,2.34806,nan,nan,0.7153,SHC_with_budget,1170,1170,1170,622,653.29,692,1,0
GP03-02,3,3,1000,188.806,1,1170,swap,FIFO-critique,1.56497,0.951557,1.10276,0.2204,SHC,1170,1248.02,1333,1,4.71,10,0.22,0
GP03-02,3,3,1000,188.806,1,1170,swap,FIFO-critique,1.56497,0.951557,1.10276,0.2204,SHC_with_budget,1170,1213.97,1326,174,238.75,474,0.56,0
GP03-02,3,3,1000,188.806,1,1170,swap,prio,1.97018,nan,nan,0.696,SHC,1170,1170,1170,1,5.34,11,1,0
GP03-02,3,3,1000,188.806,1,1170,swap,prio,1.97018,nan,nan,0.696,SHC_with_budget,1170,1170,1170,164,237.31,446,1,0
GP04-01,4,4,1000,230.918,1,1281,swap,nd,1.70325,nan,nan,0.6967,SHC,1281,1282.14,1289,1,3.28,6,0.34,0
GP04-01,4,4,1000,230.918,1,1281,swap,nd,1.70325,nan,nan,0.6967,SHC_with_budget,1281,1281,1281,917,1100.81,1585,1,0
GP04-01,4,4,1000,230.918,1,1281,swap,FIFO-critique,2.1982,1.84685,1.76748,0.222,SHC,1281,1333.05,1634,2,9.91,20,0.01,0
